10	  2.7861	  16.7346	0.6123	-0.0538	0.6841	0.0890	-1	0.1872	0.1567	1	0.0167	5.9710	167	
10	  2.8027	  16.6226	0.8004	0.0715	0.7306	0.0820	-1	0.1680	0.1587	1	0.0166	5.3592	168	
10	  2.8195	  16.7784	0.6933	0.3717	0.7157	0.1979	2	0.2074	0.1442	1	0.0168	6.6166	169	
10	  2.8361	  16.5967	0.7061	0.0970	0.7118	0.1575	2	0.1932	0.1523	1	0.0166	6.1620	170	
10	  2.8529	  16.7733	0.5881	0.1621	0.6624	0.1594	2	0.2115	0.1375	1	0.0168	6.7466	171	
10	  2.8695	  16.6073	0.8613	-0.1608	0.7419	0.0313	-1	0.1854	0.1681	1	0.0000	5.9123	172	
10	  2.8861	  16.5970	0.6178	0.5374	0.6923	0.2337	2	0.1797	0.1544	1	0.0000	5.7327	173	
12	 2.904191	iti
10	  2.9028	  16.7703	0.7262	-0.1519	0.7059	0.0795	-1	0.1931	0.1622	1	0.0000	6.1577	174	
10	  2.9194	  16.6042	0.6830	0.1375	0.6967	0.1027	-1	0.2057	0.1475	1	0.0166	6.5618	175	
10	  2.9362	  16.7503	0.7907	0.2581	0.7343	0.1648	2	0.1739	0.1613	1	0.0334	5.5472	176	
10	  2.9528	  16.6371	0.7733	-0.2461	0.7499	0.0005	-1	0.1804	0.1618	1	0.0000	5.7535	177	
10	  2.9696	  16.7506	0.6092	0.3964	0.6936	0.1589	2	0.1811	0.1495	1	0.0000	5.7761	178	
10	  2.9862	  16.6088	0.7284	0.3599	0.7075	0.2393	2	0.1610	0.1526	1	0.0166	5.1349	179	
10	  3.0029	  16.7657	0.7651	0.7545	0.7306	0.4454	-1	0.2102	0.1416	1	0.0000	6.7033	180	
10	  3.0196	  16.6281	0.7639	0.1813	0.7439	0.3397	-1	0.1943	0.1337	1	0.0166	6.1975	181	
10	  3.0363	  16.7696	0.7196	0.4576	0.7342	0.3869	-1	0.1816	0.1565	1	0.0334	5.7921	182	
10	  3.0529	  16.6003	0.7456	0.4127	0.7387	0.3972	-1	0.1670	0.1558	1	0.0166	5.3263	183	
10	  3.0697	  16.7757	0.6870	0.3790	0.7181	0.3899	-1	0.1870	0.1507	1	0.0168	5.9630	184	
10	  3.0863	  16.6130	0.6578	0.5131	0.6939	0.4392	-1	0.1867	0.1324	1	0.0166	5.9546	185	
10	  3.1031	  16.7558	0.6124	0.5009	0.6613	0.4639	-1	0.1768	0.1531	1	0.0168	5.6393	186	
10	  3.1197	  16.5870	0.6945	0.4066	0.6746	0.4410	-1	0.1638	0.1399	1	0.0166	5.2250	187	
10	  3.1364	  16.7277	0.4500	0.3822	0.5848	0.4175	-1	0.2056	0.1518	1	0.0167	6.5572	188	
10	  3.1531	  16.6869	0.5163	0.5650	0.5574	0.4765	1	0.1816	0.1719	1	0.0167	5.7917	189	
10	  3.1698	  16.7503	0.6470	0.4406	0.5932	0.4621	-1	0.1774	0.1519	1	0.0168	5.6597	190	
10	  3.1865	  16.6214	0.5036	0.4765	0.5574	0.4679	1	0.2065	0.1355	1	0.0166	6.5876	191	
10	  3.2031	  16.6000	0.6060	0.3565	0.5768	0.4233	-1	0.1957	0.1273	1	0.0166	6.2425	192	
10	  3.2198	  16.7742	0.4373	0.5330	0.5210	0.4672	1	0.1829	0.1522	1	0.0168	5.8328	193	
10	  3.2364	  16.5979	0.4213	0.4754	0.4811	0.4705	1	0.1805	0.1479	1	0.0166	5.7561	194	
10	  3.2532	  16.7778	0.6255	0.4760	0.5389	0.4727	1	0.1889	0.1519	1	0.0168	6.0262	195	
10	  3.2698	  16.6021	0.5193	0.4740	0.5311	0.4732	1	0.1797	0.1412	1	0.0166	5.7308	196	
10	  3.2866	  16.7718	0.5288	0.2035	0.5301	0.3653	-1	0.1793	0.1528	1	0.0168	5.7205	197	
10	  3.3032	  16.5988	0.5639	0.5399	0.5436	0.4352	1	0.2104	0.1362	1	0.0166	6.7115	198	
10	  3.3200	  16.7769	0.5722	0.4413	0.5550	0.4376	1	0.1839	0.1492	1	0.0168	5.8665	199	
10	  3.3366	  16.5988	0.5435	0.4078	0.5504	0.4257	1	0.2156	0.1483	1	0.0166	6.8765	200	
10	  3.3532	  16.6254	0.3773	0.4373	0.4812	0.4303	1	0.1910	0.1487	1	0.0166	6.0914	201	
10	  3.3699	  16.7470	0.3679	0.3422	0.4358	0.3951	-1	0.1934	0.1470	1	0.0167	6.1689	202	
10	  3.3866	  16.6278	0.5043	0.4264	0.4632	0.4076	-1	0.1616	0.1446	1	0.0166	5.1545	203	
10	  3.4033	  16.7464	0.5139	0.4484	0.4835	0.4239	1	0.1627	0.1467	1	0.0167	5.1888	204	
